apple_music_id,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,shaath_key,shaath_strength,braw_key,braw_strength,temperley_key,temperley_strength,noland_key,noland_strength,bpm_rhythm,bpm_rhythm_confidence,bpm_percival
80A9B2ECA6354653,1d,0.9677,10m,0.6807,1d,0.9757,1d,0.9831,1d,0.992,1d,0.872,1d,0.8116,122.01,3.2493,122.32
8173F4FAD776BABF,2d,0.8162,2m,0.8467,2d,0.9092,2d,0.8848,2d,0.8787,2d,0.8607,2d,0.9136,118.0,2.2784,118.12
822EBDC8F5ED6091,2m,0.7952,2m,0.8311,1m,0.8327,2m,0.7917,1m,0.8065,2d,0.708,2d,0.8699,122.88,2.3804,123.05
832A2663B062330B,3d,0.7332,3m,0.7453,3d,0.7838,3d,0.8225,3d,0.7665,3d,0.7801,3d,0.6797,119.97,1.0541,120.19
83D39A3FAF03F6F0,4m,0.5956,4m,0.5814,3d,0.5707,4m,0.6441,4m,0.559,3d,0.649,3d,0.5789,115.94,1.8222,116.13
83D63BB4E26A3B62,4d,0.8608,4m,0.7107,4d,0.8796,4d,0.893,4d,0.8531,3d,0.879,3d,0.8898,119.97,1.928,120.19
8409C774C2D44656,7d,0.7589,8m,0.7641,7d,0.8555,8m,0.8402,7d,0.8471,7d,0.8643,7d,0.8739,123.98,2.4691,123.78
85E680630CBAEC4A,11m,0.7585,11m,0.783,11d,0.8023,12d,0.7752,11d,0.7391,11d,0.8388,11d,0.9009,125.93,1.4334,126.05
8641317169EE5DD9,1m,0.8471,1m,0.8597,1m,0.8197,1m,0.8983,1m,0.7575,12d,0.7874,12d,0.8966,96.92,2.6408,97.05
8690521330EC8AF3,1m,0.8098,1m,0.8089,1m,0.7814,1m,0.7777,1m,0.7629,1m,0.7054,1m,0.6927,126.0,2.7857,126.05
87C1343D370D89DD,11m,0.7893,11m,0.7816,11m,0.7594,11m,0.7516,11m,0.7661,11m,0.6356,11m,0.7891,111.96,1.6485,112.04
87DBCC2080C9F69B,10m,0.8334,10m,0.8099,10m,0.8222,1d,0.7317,10m,0.8553,10m,0.6143,10m,0.8726,120.01,3.383,120.19
87DE3E4D500A6326,8m,0.8626,8m,0.8759,8m,0.9078,8m,0.8545,8m,0.8063,8d,0.8569,8m,0.9404,120.0,2.7839,120.19
87E8CF8A567FA307,5m,0.9472,5m,0.9077,5m,0.9167,8d,0.8316,5m,0.9751,5m,0.6435,5m,0.8451,114.0,2.4755,114.21
89B8EE35C2D3A29E,6m,0.83,6m,0.836,6m,0.8727,6m,0.8594,6m,0.7695,6d,0.7831,6m,0.8312,126.91,1.1767,126.82
89BDC796BA0EA1B4,10m,0.4574,11m,0.4475,9m,0.4539,11m,0.4446,10m,0.4883,9m,0.466,9m,0.5216,126.92,2.9109,126.82
8A199622438817C9,7m,0.8716,7m,0.8409,7m,0.8871,8m,0.7727,7m,0.8722,7d,0.6305,7m,0.8986,123.04,2.3494,123.05
8A3CC2B09F9F58EC,11m,0.8498,11m,0.8579,11m,0.7997,11m,0.8381,11m,0.839,11m,0.7094,11m,0.637,120.63,3.3871,120.89
8AED09318A2D73C6,12d,0.9172,9m,0.7257,12d,0.9,12d,0.8854,12d,0.9369,12d,0.7642,12d,0.7259,124.01,3.2304,123.78
8C0909A419F9090F,11m,0.9644,11m,0.9615,11m,0.9191,11m,0.9613,11m,0.9389,11m,0.645,11m,0.7662,120.0,3.1602,120.19
8CFE13D333589EAA,11m,0.8369,11m,0.8347,11m,0.8697,12m,0.7742,11m,0.8372,12m,0.7627,11m,0.8834,120.0,3.7199,120.19
8E85195807BCA9CC,9m,0.7159,9m,0.7101,9m,0.7506,9m,0.7514,9m,0.6485,9m,0.7688,9m,0.6985,114.99,3.7226,114.84
8E94ECE960BCCF63,10d,0.8329,10m,0.7609,10d,0.8908,10d,0.9133,10d,0.8679,10d,0.9244,10d,0.9,111.94,1.4315,111.74
8F70D147B185D9CF,2m,0.869,2m,0.8522,2m,0.8001,2m,0.8719,2m,0.819,1d,0.8294,1d,0.7591,122.44,2.2965,122.32
8FAC2CC8F72BCE4E,10m,0.8538,10m,0.8213,10m,0.9009,11m,0.7631,10m,0.8455,11d,0.6595,10m,0.8792,123.57,2.5787,123.78
901AABA21FF35C60,11m,0.9038,11m,0.8846,11m,0.9478,11m,0.8479,11m,0.8904,11m,0.758,11m,0.9166,121.03,2.6713,120.89
904959D73E2AB42E,3d,0.8185,3m,0.5738,3d,0.8472,3d,0.8902,3d,0.8025,3d,0.9219,3d,0.8105,123.93,2.154,123.78
90A0DDFC5B38D7A1,3d,0.7519,3m,0.7701,3d,0.8573,3d,0.8845,3d,0.8052,3d,0.958,3d,0.9397,128.19,2.2063,128.4
90DEEA525D379D19,1m,0.9015,1m,0.9081,1m,0.9462,1m,0.8511,1m,0.8577,1m,0.7252,1m,0.9519,119.98,2.5955,120.19
