spotify_id,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
01PY4CRWbH1Js0lAPy71eN,e8188b74-7eca-4331-80a4-7a45841ff771,https://open.spotify.com/track/01PY4CRWbH1Js0lAPy71eN,SE2WJ1100304,0.1,0.778,0.592,0.873,2.0,0.0584,-13.181,1.0,0.0866,126.017,0.262
01UmrAiSyFKUXQRODUuJsH,6342c3b3-00b7-46ea-98df-b2f47d7b038a,https://open.spotify.com/track/01UmrAiSyFKUXQRODUuJsH,DEY472275449,0.125,0.778,0.587,0.852,4.0,0.132,-12.07,0.0,0.204,124.002,0.272
031eVTZG0DoOt1AAQJ9490,12110200-4e42-4e8b-9455-07f3d61d1957,https://open.spotify.com/track/031eVTZG0DoOt1AAQJ9490,DEPL91204805,0.109,0.785,0.683,0.698,4.0,0.0951,-10.659,0.0,0.0639,121.004,0.822
03ccKKeYtrjlcRG9khtNrg,63cf3e13-5a5f-49cc-8791-034afc290c63,https://open.spotify.com/track/03ccKKeYtrjlcRG9khtNrg,DEMM11300060,0.296,0.743,0.705,0.902,6.0,0.0661,-12.187,0.0,0.0556,124.007,0.348
04C8gJkGXkp1A8ZzQiOoBi,dde2ad6e-512d-4d4b-a06b-5f2edc7a35b7,https://open.spotify.com/track/04C8gJkGXkp1A8ZzQiOoBi,DEPL91205061,0.0131,0.704,0.332,0.87,11.0,0.0909,-13.385,0.0,0.0819,120.018,0.276
06vNFYTxJUZUBw7TotVGhe,3cb3ff44-bcbf-4f5f-9bf8-d3e72ec14e55,https://open.spotify.com/track/06vNFYTxJUZUBw7TotVGhe,GBCFB1500115,0.456,0.785,0.739,0.817,0.0,0.109,-13.234,1.0,0.0457,115.998,0.478
079oT7UeYq6VNsMxtKgmOO,214c9fcd-ea2a-4779-a7f5-5d3c4b9ef985,https://open.spotify.com/track/079oT7UeYq6VNsMxtKgmOO,NLL561606808,0.411,0.794,0.559,0.885,11.0,0.254,-11.798,0.0,0.0559,104.976,0.345
07F3akBPO1FjKJMwDXKf8r,3413367c-fa3c-463f-bf0a-54a7e8da36ec,https://open.spotify.com/track/07F3akBPO1FjKJMwDXKf8r,DEG932500057,0.483,0.703,0.236,0.898,6.0,0.106,-13.273,0.0,0.299,196.013,0.142
07ihiCmDshXFcqK9cq7Ulf,dbb55a9b-c3c3-46e7-af36-6e5a69d30827,https://open.spotify.com/track/07ihiCmDshXFcqK9cq7Ulf,DEY472473661,0.0019,0.771,0.476,0.894,8.0,0.086,-10.873,1.0,0.0454,124.003,0.508
0AQsiSsoBY3CdvrQc0TePC,8473f376-574a-4aec-a05b-82d7d95c26cd,https://open.spotify.com/track/0AQsiSsoBY3CdvrQc0TePC,DEY472088426,0.00269,0.711,0.464,0.904,9.0,0.108,-13.561,0.0,0.0435,118.001,0.61
0AZTusI2KJaTbZxrSDvfi5,a90b4eda-47e7-4a6c-a76f-496789ecb92f,https://open.spotify.com/track/0AZTusI2KJaTbZxrSDvfi5,GB6LY1500001,0.0489,0.808,0.459,0.531,11.0,0.0811,-12.488,0.0,0.0458,123.997,0.14
