apple_music_id,artist,name,key,bpm
E7BDA91E35F8C0D4,Logic1000,"under the sun, beneath the rainfall",11m,93
8641317169EE5DD9,DJ Koze feat. Ada,Homesick,1m,97
FEDF095422D84CF9,Patrick Holland feat. Dusty,Dustman,4m,105
DAB620B71FE46FD6,Superpitcher,Smile It's a New Day,4m,114
EA7AE05764D345B1,Genius Of Time,Houston We Have A Problem,3d,117
1A3253C0AF53D706,Jack J,Something (On My Mind),2d,119
A9E68047C200943C,Portable feat. L_Cio,Surrender,3d,120
5CD77C179587250F,Youandewan,1988 (Original Mix),4m,123
DFC7FE978B4DAC24,Soul Wun,Searching,5m,124
89B8EE35C2D3A29E,Ross From Friends,Epiphany,6m,127
4F0912312DA3BE4B,Bob Sinclar,Save Our Soul,6m,128
6CD6B2C532382FBE,Westbam feat. Nena,Oldschool Baby (Piano Mix),8m,130
2B1775639471AB01,Miss Kittin & The Hacker,The Beach,8m,131
38C524D2E5DB34AB,Midland,Final Credits,9m,133
50E6A69C3634182A,Daphni,Waiting So Long,4m,133
557F1DE0F36CB2DA,Megan Wroe,Lovestep (Original Mix),4d,136
BDE8DB89E8B52164,Four Tet,Lush,5m,133
524C9604FC6549AE,KARO,Nachti Opening 2023,8m,129
F94EE46059DEC13A,"Joey Negro, Akabu",Another World (Andre Lodemann Mix),9m,125
8F874F38C7DA1FB7,Leo Pol,This Must Be Illegal,9d,126
