apple_music_id,artist,name,key,bpm
AD1AD9612533B0CC,Lauer,Antinat,Key 1d,123
6A3412E39F12BDCC,Efdemin,Parallaxis (Traumprinz's Over 2 The End Version),Key 2m,123
4DD2259D7BF5CBEE,FCL,It's You (San Soda's Panorama Bar Version),Key 11m,119
8C0909A419F9090F,Leafar Legov,Cenote,Key 11m,120
E467A2579072D4BC,Black Loops,Sex,Key 11m,121
31DEE138BC3F0EAA,DJ Koze,I Want To Sleep,Key 11m,121
1D132A540BB1E3BB,Powel,I Don't Waste My Tears on You,Key 11m,120
23C40FC63B65D4C1,Talaboman,Loser’s Hymn,Key 11m,118
F00223D6C6B750AB,Jitwam,Whereyougonnago?,Key 11m,118
D23C23CABEB5894F,Fort Romeau,Secrets & Lies,Key 11m,120
EB6BDDD46026E033,Lady Alma,It's House Music,Key 11m,120
470A1860AEAA1392,Aaron Ahrends,Little Space,Key 12m,120
DBAB55A461013181,Robag Wruhme,Tulpa Ovi,Key 1m,120
C6A87418766615D8,Dominik Eulberg,Sansula (Max Cooper's Lost In Sound Mix),Key 1m,121
3F66709677E5FD10,DJ Koze,Pick Up,Key 12d,125
5D4E1CBF05F9ABD7,Efdemin,There Will Be Singing (DJ Koze Remix),Key 1m,124
0309ABE3B1F56439,Daphni,Tin,Key 1m,127
5DE7922B6C97D58E,Daso,T. Anders,Key 12m,128
52CC025E20F6240D,Caribou,Can't Do Without You,Key 1m,128
74ED830B8CE52CEE,Bicep,Opal (Four Tet Remix),Key 1m,127
7F38B0F7244C2BDF,Gold Panda,Black Voices,Key 1m,123
6DAAF4207B02893B,Isolée,Allowance,Key 1m,120
9E9533C576EC74EC,Aphex Twin,Windowlicker,Key 10m,123
FF4533FB215CA362,Galcher Lustwerk,Outside the Club,Key 10m,124
8FAC2CC8F72BCE4E,Genius Of Time,Peace Bird,Key 10m,124
1D64C96744B0A29D,Gwilym Gold & Doc Daneeka,Lust For Sale (MGF Mix),Key 9m,121
E0496ABB8A7468B7,DJ Koze,My Grandmotha,Key 8d,118
382005B23C1D7E9F,DJ Koze feat. Eddie Fummler,Moving in a Liquid,Key 8d,118
9C9B74C419ABE945,HNNY,12 00,Key 9m,118
18D5700DE4E9EEA8,David August,Epikur,Key 9m,118
