apple_music_id,artist,name,key,bpm
523903D4C3E6473D,Against All Logic,Such a Bad Way,9d,111
AAAFD64B647C2004,Agaric,No Way I Know I Feel (Axel Boman Remix),5d,122
5C36F8E91D3F42B2,altrice,think & dream,6m,124
BCF4FFC5EFDDC171,Aluna & KAYTRANADA,The Recipe (Bella Boo Remix),9m,126
BD05D30E29518008,Amount,Meme,7d,117
4D24CEA1A632921F,Andre Bratten,Aegis,9m,118
FEB17DCD707E506D,Aphex Twin,Iz-Us,7m,119
B74337E32768F98F,AQUARIUS HEAVEN,Universe,3m,120
0CD11A830061EC94,Arutani,Any Kind of Magic,8m,117
35FF2AC3C03930B3,Axel Boman,Eyes Of My Mind,1d,122
B00F23DB080BF7F0,Axel Boman,Purple Drank,3m,119
0AD2023331278751,Baby's Berserk,Toxic Kisses,2m,128
A4BA956905FA4FCA,Baril,Lockdown,1m,117
EF8693AB5E7D9420,Barry Can't Swim,Fiorucci Made Me Hardcore,2m,137
ED5428EECDCCB5DC,Behling and Simpson,Left Behind,2m,113
FF70E3BB9A5FF4F3,Bella Boo,True Romance (Maja Edit),8d,126
485E79B919CFA501,Bicep,Glue (Original Mix),2m,130
1D9AA4601EDB0414,Black Loops,Velvet,1d,126
5945D30199512AFA,BLVTH,Mars,11m,103
F62F66B68805BDBE,Bostro Pesopeo,Yes,12d,120
EF4C054B23D7E4DF,Brenton Wood,I'm the One Who Knows,11m,108
014D234E959CB075,Bruce Haack,Haackula 10,10m,109
9F92A0939862C627,Calibre,Things like This,1m,175
A1E58DC6E59B13D7,Caribou,Never Come Back,12m,128
F1E5202A3AF2C305,Channel Tres,Sexy Black Timberlake,3d,117
57018B55099B6D2E,Chemise,She Can't Love You,12d,114
069D4F6AB80EB297,Christian Löffler,Haul (Max Cooper Remix),2d,118
5ADCCB53D961D8BC,Cinthie,Together (Original),5d,123
F81B3909CBE1EB61,COMA,Lora (Robag's Fandara Qualv NB),4d,119
4FA902E3391D9161,The Cure,Alone (Four Tet Remix),1d,129
B890CDCC9FE5A25D,D Stone,The Continue (Original Mix),1m,129
5A9BF3C185DF24EB,DAMH,Black Night,2m,120
95ECE6DA1873356A,Dan Ghenacia & Shonky,Close To The Edge (Original Mix),7m,124
BDFB1DC0652CF4C9,Daniel Bortz,Wohin Willst Du?,11m,120
3DD0D7F9D1E50678,Daniela La Luz,Did You Ever,1d,120
269C195EF4500C3B,Danny Brown,Grown Up,6m,93
83D39A3FAF03F6F0,Daphni,Yes I Know,3d,116
3BA5F56BC7360BBD,Daphni,Cloudy (Kelbin Remix),3m,134
E1C641DCCDFDD8C8,Dave DK,Don't Eat The Homies,6m,121
0216E09610CF651D,DJ Heartstring,BAE,1m,150
2BD1B49B870E4407,DJ Koze,Buschtaxi (Extended Version),4m,120
92657C200C8EACDF,DJ Koze,XTC (Original Mix),1d,118
5F736BC677098D71,DJ Koze feat. Arnim Teutoburg-Weiß und The Düsseldorf Düsterboys,Wie schön du bist,9m,117
248D72C9CCB20056,DJ Seinfeld,U (Original Mix),10d,126
F288C91BA8E4E5E1,Dntel,(This Is) The Dream of Evan and Chan (Superpitcher Kompakt Remix),9m,127
08A6CCAE26C23727,Dorisburg,Emotion,1m,122
BDD6D7ACE00C4EEE,dreamcastmoe,(301)341-7207,11m,147
5CCDC20B047FFD66,Ede & Deckert feat. Sargland,"Narciss ""Venice"" Remix",7m,131
2ABA40573EADB792,Everything But The Girl,Walking Wounded,5m,156
F025321382DA4E81,Fango,Betta,11m,120
B0B8D7CE7C71D25D,Francis Inferno Orchestra,Harmony,1m,123
A8349B85981555B6,Frank & Tony feat. Gry,Bring the Sun (Vocal),1m,114
C11AE0899701FF43,Frank Ocean,Nights,11d,80
8E94ECE960BCCF63,Fred again..,Kyle (I Found You),10d,112
71D9D74FF5B5D989,Fred again..,Dermot (See Yourself In My Eyes),1d,150
BFF411ED275DF3B6,Fred again..,Yasminah (See Your Face Again),5m,118
E55678B9533CB189,Fred again..,Tate (How I Feel),1d,125
BFAF9FD4FC30DE07,Fred again..,Tanya (Maybe Life),12d,128
CF696041547504DC,Fred again..,Billie (Loving Arms),11m,128
26331470FB5B82FA,Fred again..,Delilah (pull me out of this),11m,134
1C66AD2EF0F51069,Fred again..,Kammy (like i do),11m,132
BBE9727E4AD570C5,Fred again..,Bleu (better with time),6d,122
E88EE00C7D621D56,Fred again..,Danielle (smile on my face),12d,130
298B765C66628A1E,Fred again.. & The Blessed Madonna,Marea (We’ve Lost Dancing),9m,123
90A0DDFC5B38D7A1,"Fred again.., Jozzy, Jim Legxacy",ten,2m,128
91EB327D3516EA59,Fünf Sterne Deluxe,Schund (Super Flu’s No Champier Mix),10m,123
4C5AA18B64864165,Galcher Lustwerk,Parlay,8m,119
0002F679BA418CAA,Galcher Lustwerk,Put On,2d,122
F9CCC4AB6B1C5A54,Galcher Lustwerk,I Neva Seen,9m,118
527A3F0165F276D2,Galcher Lustwerk,I Neva Seen,9m,118
