apple_music_id,artist,name,effective_bpm,consensus_bpm,djay_bpm_diff,bpm_diff,djay_bpm,djay_manual_bpm,djay_straight_grid,apple_music_bpm,beatunes_bpm,beatunes_bpm_salience,bpm_rhythm,bpm_rhythm_confidence,bpm_percival,effective_key,consensus_key,key_diff,djay_key,essentia_key,beatunes_key,apple_music_key,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,braw_key,braw_strength,shaath_key,shaath_strength,temperley_key,temperley_strength,noland_key,noland_strength
7CB581142AC30B5A,Gui Boratto,Arquipelago (Original Mix),124.99,124.99,0.0,1.46,125.0,,True,125,124.98825073242188,0.929347813129425,123.82,2.6291,125.28,6m,6m,20,2m,6m,2m,6m,10d,0.5662,6m,0.4933,6m,0.5865,10d,0.5591,10d,0.5607,6m,0.6287,6m,0.4677
89BDC796BA0EA1B4,Gregor Salto & DJ Gregory,Canoa (Original Mix),126.96,126.96,0.0,0.18,127.0,,True,127,126.99910736083984,0.893048107624054,126.92,2.9109,126.82,9m,9m,16,4m,9m,4m,9m,10m,0.4574,11m,0.4475,9m,0.4539,10m,0.4883,11m,0.4446,9m,0.466,9m,0.5216
166EC6D01F2DED99,Joe Gray,Tozai,116.06,116.06,0.0,0.93,115.99,,False,116,116.0,1.0,116.92,1.5595,116.13,6m,6m,13,6m,9d,8d,6m,9d,0.932,6m,0.8222,9d,0.856,6m,0.8983,9d,0.8476,8d,0.7045,6m,0.8455
7D47F9DD09DC4CB0,Joy Orbison,flight fm,139.98,139.98,0.0,0.33,140.0,,True,140,139.97108459472656,0.9207317233085632,139.98,2.1027,139.67,12m,12m,12,12m,3d,12m,12m,3d,0.8815,12m,0.7704,3d,0.8145,12m,0.9222,3d,0.7696,3d,0.5142,12m,0.6112
AAE2575C020181C6,Acid Arab,Buzq Blues,123.01,123.01,0.0,0.1,123.0,,True,123,123.01683044433594,0.9333333373069763,122.95,3.1227,123.05,6m,6m,12,6m,9d,6m,6m,9d,0.8171,6m,0.7263,9d,0.7498,6m,0.8358,9d,0.8028,9d,0.6148,6m,0.5163
758395E81B989F13,Caribou,Sun,128.2,128.2,0.0,0.54,128.0,,True,128,128.0,1.0,128.54,2.1841,128.4,6m,6m,11,7m,6m,7m,6m,9d,0.917,6m,0.862,6m,0.8737,6m,0.9193,9d,0.8029,9d,0.6254,6m,0.9
C1582B7F7DA5845E,Herbert,I Hadn't Known (I Only Heard),123.42,123.42,0.0,0.39,123.43,,False,123,123.4111099243164,0.8999999761581421,123.39,2.5167,123.78,8m,8m,11,8m,7m,8m,8m,11d,0.491,7m,0.3728,7m,0.4126,8m,0.5214,11d,0.4965,6d,0.4823,7m,0.3089
77DDE88FACE6EACC,Maxxi Soundsystem feat. Name One,Regrets We Have No Use For (Original Mix),117.98,117.98,0.0,0.21,118.0,,True,118,117.96998596191406,0.9646464586257935,117.91,2.543,118.12,9d,9d,11,9d,9d,6m,9d,9d,0.7923,7m,0.6808,9d,0.7923,6m,0.7718,9d,0.7069,8d,0.7248,7d,0.8419
2C2516EE14975ADC,The Other People Place,Let Me Be Me,130.8,130.8,0.0,0.14,130.72,,False,131,130.86309814453125,1.0,130.77,3.6104,130.83,9d,9d,11,2m,9d,2m,9d,9d,0.6519,9m,0.5845,9d,0.6158,9d,0.6792,9d,0.6562,9m,0.5047,8d,0.4588
1CB511AB86A1CCAF,Literon,Machine I,126.01,126.01,0.0,0.06,126.0,,False,126,126.01339721679688,0.9849246144294739,125.99,2.4093,126.05,9m,9m,11,8m,9m,10m,9m,12d,0.5259,9m,0.5223,9m,0.5144,12d,0.5077,12d,0.5508,9m,0.7332,9m,0.6161
B5DDBF859B5359CB,Caserta,Ricky (Thatmanmonkz Remix),117.0,117.0,0.0,0.43,117.0,,True,117,117.0,1.0,117.22,2.743,116.79,11m,11m,10,11m,10m,2d,11m,11m,0.5152,10m,0.4521,10m,0.4588,11m,0.5639,9d,0.5,9d,0.5861,10m,0.4942
0DEE241A0C8838C7,San Proper,It's Here,114.46,114.46,0.0,0.84,114.5,,False,114,114.0,1.0,114.42,1.3087,114.84,9d,9d,9,7m,9d,7m,9d,9d,0.8585,7m,0.8301,9d,0.8549,9d,0.8332,9d,0.7627,8d,0.677,7m,0.9054
1AE21EF973CDAAE5,Pachanga Boys,Drunken Dancer,115.92,115.92,0.0,0.34,115.84,,True,116,116.0,1.0,115.79,3.239,116.13,9m,9m,9,9m,9m,9m,9m,12d,0.7539,9m,0.6251,9m,0.6972,9m,0.7572,12d,0.678,12d,0.5922,9m,0.6848
D0D59B35BE5EF64D,Marie Davidson,Work It (Soulwax Remix),125.0,125.0,0.0,0.29,125.0,,True,125,124.98825073242188,1.0,125.01,2.7883,125.28,2d,2d,9,2d,2d,11m,2d,2d,0.9219,11m,0.7697,2d,0.8588,2d,0.9154,2d,0.857,2d,0.6728,11m,0.5892
674B680BA2554CBD,Botany,Vision of This Earth Before Our Time,111.0,111.0,0.0,0.19,111.0,,True,111,110.95172119140625,0.9794871807098389,111.01,2.8948,111.14,12m,12m,9,1d,12m,12m,12m,3d,0.8258,12m,0.7824,12m,0.8198,12m,0.8532,2d,0.7383,2d,0.721,1d,0.7932
07741A03011E1BB5,Robag Wruhme,Lampetee,125.02,125.02,0.0,0.28,125.0,,True,125,125.0,0.9950000047683716,125.04,2.929,125.28,2m,2m,8,3m,2m,8m,2m,2m,0.3755,2m,0.3876,2m,0.4277,3m,0.3907,2m,0.4211,2m,0.5713,2m,0.4942
9659CB55BA67DBDB,Hodini,Chronic Gangster Boogie,118.06,118.06,0.0,0.26,118.0,,False,118,118.16712951660156,0.9037432670593262,117.91,2.0577,118.12,10m,10m,8,11m,10m,10m,10m,10m,0.794,10m,0.7533,10m,0.7327,10m,0.8265,1d,0.7361,1d,0.5061,9m,0.5215
E199F94246DC808F,Luvless,Luvmaschine Original Mix,114.0,114.0,0.0,0.25,114.0,,True,114,114.0,1.0,113.96,2.6262,114.21,8m,8m,8,8m,8m,1m,8m,8m,0.7669,8m,0.7827,7m,0.759,8m,0.6883,8m,0.8094,7d,0.6953,7d,0.7981
4FA902E3391D9161,The Cure,Alone (Four Tet Remix),129.02,129.02,0.0,0.22,129.0,,True,129,129.0493927001953,0.925000011920929,128.98,3.0374,129.2,1d,1d,8,1d,1d,11m,1d,2d,0.8414,11m,0.6975,1d,0.8406,11m,0.8094,1d,0.8094,1d,0.835,12d,0.8535
4DD2259D7BF5CBEE,FCL,It's You (San Soda's Panorama Bar Version),119.0,119.0,0.0,0.22,119.0,,True,119,119.0,1.0,119.02,3.0549,118.8,9d,9d,8,7m,9d,11m,9d,9d,0.4324,6m,0.3373,9d,0.3956,9d,0.3986,9d,0.4249,10m,0.4325,9d,0.3377
2B1775639471AB01,Miss Kittin & The Hacker,The Beach,130.94,130.94,0.0,0.75,131.06,,False,131,131.06024169921875,0.8700565099716187,130.31,3.4265,130.83,8m,8m,7,4m,8m,10m,8m,8m,0.6749,8m,0.624,8m,0.722,8m,0.6712,8m,0.6332,8d,0.5,7m,0.6233
C0201242B8135B45,Superpitcher,Mushroom,125.58,125.58,0.0,0.34,125.6,,False,126,125.61911010742188,0.9899497628211975,125.57,2.2906,125.28,11m,11m,7,1d,11m,11m,11m,11m,0.8404,11m,0.7804,11m,0.8471,11m,0.85,1d,0.7493,1d,0.6321,10m,0.8678
87DBCC2080C9F69B,Joy Jenkins,Flowers,120.0,120.0,0.0,0.21,120.0,,True,120,119.98084259033203,0.9950000047683716,120.01,3.383,120.19,10m,10m,7,12m,10m,12m,10m,10m,0.8334,10m,0.8099,10m,0.8222,10m,0.8553,1d,0.7317,10m,0.6143,10m,0.8726
D5AAE54DB9AA0EB0,She Knows,Thalassa (Original Mix),121.0,121.0,0.0,0.11,121.0,,True,121,121.0,1.0,120.99,2.4937,120.89,8d,8d,7,7d,8d,8d,8d,8d,0.8,5m,0.5078,8d,0.8276,7d,0.7736,8d,0.8144,7d,0.8024,7d,0.7835
C1AD2BFCE4B81893,Brigade feat. Acud,Meet Me On Pluto!,109.98,109.98,0.0,0.05,110.0,,True,110,110.00543975830078,0.9847716093063354,109.96,3.048,109.96,9m,9m,7,10m,9m,11m,9m,12d,0.8444,9m,0.8203,9m,0.8473,9m,0.8513,9m,0.7412,10d,0.6648,9m,0.9124
2511CA917F76BFD9,Pachanga Boys,Time,123.89,123.89,0.0,0.43,124.0,,False,124,124.0,1.0,123.57,1.9986,123.78,12d,12d,6,12d,12d,11m,12d,11m,0.78,11m,0.7507,12d,0.8494,12d,0.7966,12d,0.756,11d,0.7016,10m,0.9104
AAAFD64B647C2004,Agaric,No Way I Know I Feel (Axel Boman Remix),122.0,122.0,0.0,0.33,122.0,,True,122,122.0,,121.99,2.3871,122.32,5d,5d,6,5d,5d,2m,5d,5d,0.8968,2m,0.6471,5d,0.8848,5d,0.9292,5d,0.9018,5d,0.7962,5d,0.7103
D36273B37EB783C5,Neşe Karaböcek,Yali Yali (Todd Terje Edit),116.0,116.0,0.0,0.24,116.0,,False,116,115.99856567382812,0.9743589758872986,115.89,3.3505,116.13,12m,12m,6,12m,12m,12m,12m,12m,0.93,12m,0.8671,12m,0.8904,12m,0.9772,3d,0.8203,3d,0.5978,12m,0.7352
8AED09318A2D73C6,Mano Le Tough,Energy Flow (DJ Koze's Miles&More Remix),124.0,124.0,0.0,0.23,124.0,,True,124,124.0025405883789,0.9698492884635925,124.01,3.2304,123.78,12d,12d,6,12d,12d,9m,12d,12d,0.9172,9m,0.7257,12d,0.9,12d,0.9369,12d,0.8854,12d,0.7642,12d,0.7259
5E92A12B4203D93C,Jabru feat. Joel Culpepper,Church,120.0,120.0,0.0,0.22,120.0,,True,120,120.0,1.0,119.97,2.8729,120.19,2d,2d,6,1m,1d,2d,2d,2d,0.6615,12m,0.5769,2d,0.7653,2d,0.6548,1d,0.6898,1d,0.6953,1d,0.7898
2D29BBF6D48EBBEB,Tourist & Sofia Kourtesis,Your Love (Sofia Kourtesis Remix),123.99,123.99,0.0,0.22,124.0,,True,124,124.0025405883789,0.9949748516082764,123.98,2.0518,123.78,12d,12d,6,1d,12d,8m,12d,12d,0.8277,1m,0.7131,12d,0.8546,12d,0.8767,12d,0.8719,12d,0.843,12d,0.7937
BD05D30E29518008,Amount,Meme,117.0,117.0,0.0,0.21,117.0,,True,117,117.0,1.0,117.0,2.9934,116.79,7d,7d,6,7d,7d,4m,7d,7d,0.796,4m,0.5868,7d,0.8062,7d,0.8475,7d,0.8328,7d,0.7628,7d,0.647
E534940AE7D7DECC,Jimpster,Porchlight And Rocking Chairs (KiNK Remix),120.02,120.02,0.0,0.19,120.0,,False,120,120.02027130126953,0.9792746305465698,120.02,1.8738,120.19,11d,11d,6,10d,11d,10m,11d,11d,0.7993,9m,0.7365,11d,0.85,11d,0.816,11d,0.7643,11d,0.7034,9m,0.8607
F18D44762441D685,Hunee,Rare Hapiness,120.01,120.01,0.0,0.19,120.0,,True,120,120.0,0.9846938848495483,120.02,2.4441,120.19,1d,1d,6,4m,1d,10m,1d,1d,0.6591,1m,0.5968,1d,0.6619,1d,0.7464,1d,0.7264,1d,0.6342,1d,0.6507
3F7D2B1E3C9F7AD6,&ME,Solaris,120.02,120.02,0.0,0.19,120.0,,True,120,120.0,1.0,120.04,1.1678,120.19,9m,9m,6,9m,9m,5m,9m,9m,0.8278,9m,0.8131,9m,0.76,9m,0.7582,9m,0.8377,8d,0.8809,8d,0.8334
78FB70119A0E0A0C,Jon Hopkins,Vessel (Four Tet Remix),135.6,135.6,0.0,0.07,135.6,,False,136,135.59451293945312,0.7050359845161438,67.81,1.7553,135.55,9d,9d,6,9d,9d,6m,9d,9d,0.974,6m,0.6825,9d,0.972,9d,0.9927,9d,0.9874,9d,0.8831,9d,0.8081
