apple_music_id,artist,name,key,bpm
470A1860AEAA1392,Aaron Ahrends,Little Space,12m,120
AAE2575C020181C6,Acid Arab,Buzq Blues,6m,123
4EAEF206AC1D3A00,Ada,Faith,4m,125
D0E6FA29DAF01D26,Agoria,Dust,10m,124
E785D78D410B38EC,Agoria,Solarized,12m,122
2660F6523C5E5A2E,Akufen,Train To Barcelona,3d,120
9BAB5CF0098CAE0E,Al Rajul Al Hadidi,Void,9m,98
E6F780AAFA6BE763,Albion,Air (Oliver Lieb Remix) Remastered,1m,137
AEB2CA34ACE1C8B2,Aleksandir,Yamaha,10m,121
6C5D034AB472774F,Andre Lodemann,Where Are You Now,9m,126
35DC97DB30C08D8A,Andy Pickford,Temple of The Wonklord,3m,112
9E9533C576EC74EC,Aphex Twin,Windowlicker,10m,123
15DFBBABCC01DB5B,Arutani,If It Means This Much To You,2m,117
540F34976C192B42,Arutani & Faber,Summon Ghosts,11m,115
5BA2330A0B253778,Ben Pearce,What I Might Do,10m,122
4E23F5999F4ADA54,Bibio,Lovers Carvings (Catz 'n Dogz Re-edit),9m,122
74ED830B8CE52CEE,Bicep,Opal (Four Tet Remix),1d,127
E467A2579072D4BC,Black Loops,Sex,12m,121
E5EC4C8DDB60F85C,Bonobo feat. O’Flynn,Otomo,2m,126
674B680BA2554CBD,Botany,Vision of This Earth Before Our Time,12m,111
9E52E935F81BFC5A,Burial & Four Tet,Moth (Original Mix),3d,118
52CC025E20F6240D,Caribou,Can't Do Without You,1d,128
C2D86B04CA43F2F0,Caribou,Julia Brightly,2d,140
758395E81B989F13,Caribou,Sun,6m,128
B5DDBF859B5359CB,Caserta,Ricky (Thatmanmonkz Remix),11m,117
9C828D054A8A2DFA,Constantijn Lange,Snagsens Delight,6m,93
0145505CEA9F61FF,The Cyclist,Pressing Matters (Robag's Pinvoldex Sull NB),12d,123
26F2DF07E1682CD2,Daft Punk,Make Love,7m,133
C8BE58D195D42AD0,Daniel Mehlhart,Nebelschwaden,7m,125
0309ABE3B1F56439,Daphni,Tin,1m,127
5DE7922B6C97D58E,Daso,T. Anders,1d,128
9A50EE5E8F861935,DJ Boring,Winona,10m,122
3F66709677E5FD10,DJ Koze,Pick Up,12d,125
08BD83E96720653E,DJ Koze,Seeing Aliens,11d,119
E0496ABB8A7468B7,DJ Koze,My Grandmotha,8d,118
31DEE138BC3F0EAA,DJ Koze,I Want To Sleep,3m,121
8641317169EE5DD9,DJ Koze feat. Ada,Homesick,1m,97
08F1F5EC326591AD,DJ Koze feat. Apparat,Nices Wölkchen,8d,120
382005B23C1D7E9F,DJ Koze feat. Eddie Fummler,Moving in a Liquid,6m,118
4AD3E818EBB15070,DJ Linus,Are You Ready?,2d,124
5C8D5C366A147A5F,DJ Phono,Gone,10d,122
901AABA21FF35C60,DJ Phono,Knarhcslhük Mi Ttinhcsfua Hcon Ebah Hci,11m,121
C6A87418766615D8,Dominik Eulberg,Sansula (Max Cooper's Lost In Sound Mix),1m,121
B1BB63F715E1025E,Dorothy's Ghost,Never Said Goodbye (Lee Waxman's Long Hot Disco Mix),12m,115
2E19A46A360DA756,Dürerstuben,Trunce Zen Dance,7m,116
B65843F784D21727,dwig,one for good,7m,98
6A3412E39F12BDCC,Efdemin,Parallaxis (Traumprinz's Over 2 The End Version),1d,123
2EB10433CAD55948,ELIXIR,Aconite,9m,111
4DD2259D7BF5CBEE,FCL,It's You (San Soda's Panorama Bar Version),9d,119
BDE8DB89E8B52164,Four Tet,Lush,5m,133
0ABB024F6D478966,Four Tet,Baby,12m,127
DB44FAAD8317917B,Fred again..,Diana (You Don't Even Know),12m,123
3593352EB5B1F992,"Fred again.., Obongjayar",adore u,1d,124
FF4533FB215CA362,Galcher Lustwerk,Outside the Club,11d,124
DF5BAB509EB6AB86,Galcher Lustwerk,Enterprise,5m,124
056BB1EDF5E80113,Galcher Lustwerk,In the Place,2d,126
7F38B0F7244C2BDF,Gold Panda,Black Voices,1m,123
7CB565F0DF8F5339,Gregor Schwellenbach feat. Christian Buck,Superpitcher’s Tomorrow,2d,94
76230A9587858ECB,Guti,Patio de juegos,3m,122
1488CC99DFD56341,Guti,We Shall Overcome,10m,123
5F59829A39B08FA2,Guti,All The Girls,1m,125
1358E16BE3A17A16,Guti & Dubshape,Every Cow Has A Bird,6m,124
F18D44762441D685,Hunee,Rare Hapiness,1d,120
DC02BB77C8212A52,The Invisible feat. Connan Mockasin,K Town Sunset (Tee Mango Summer Daze Revision),12m,119
44A1753F543400D0,Iron Curtis,Lucent (Original Mix),9m,119
E79D41CCE2731E1C,Isabeau Fort & Kalipo,Sometimes,1d,110
41A551BAEB36490D,Isolee,I Like It Here Can I Stay,1m,120
5E92A12B4203D93C,Jabru feat. Joel Culpepper,Church,2d,120
39BAACDDD3787B7A,Jacob Mikesh Filburt,At the Ranch (Lauer Remix),9m,117
0575419A2E6CA0A4,Jamie XX feat. Young Thug & Popcaan,I Know There's Gonna Be (Good Times),3m,90
53887FE8DE3E61C9,Jamie xx feat. Romy,Loud Places,7d,109
ED01A1377BB828D4,Jayda G,Both of Us,6d,124
07742BC963820C46,Jean Jacques Smoothie,2 People,3m,130
53630469057C2991,Jeigo,Pearl Leaf,11m,129
F00223D6C6B750AB,Jitwam,Whereyougonnago?,11m,118
166EC6D01F2DED99,Joe Gray,Tozai,6m,116
CD5FECFC9CDE127D,Joeski feat. Jesánte,How Do I Go On,3m,123
67A577EC2C670048,Jon Hopkins,Sun Harmonics,2d,118
78FB70119A0E0A0C,Jon Hopkins,Vessel (Four Tet Remix),9d,136
5771C71F6D0F631C,kalupke,deep talk,4m,117
10E9296E73907B06,Keinemusik,Muyè,1m,120
38BA7B097FF2D34F,Kiasmos,Blurred (Bonobo Remix),5m,125
4037FE4D70AB3631,Kings of Tomorrow feat. April,Fall for You (Sandy Rivera's Classic Mix),11m,123
EB6BDDD46026E033,Lady Alma,It's House Music,10d,120
B77B6DFBB8A700C9,Lawrence,Glow,11m,121
9DD5530EE9F203AC,Letherette,Langsette,11m,114
4CA015B06EE4512F,Lokke,Tuo Volto,1d,115
4C0C21464BE6AAC7,Lokke & Wodoo Wolcan,00deep und das gefährliche Unterstrassphantom,7d,113
E66658C1D3D21605,Luca Albano,Calinda (Francesco Bonora Remix),10m,125
87E8CF8A567FA307,Luca Musto,Word,5m,114
BBE41E3F08F3D454,Luca Musto,Tight Situation,12m,109
F451BE37AF8B29B0,Maceo Plex,Your Style (Maceo Plex Re-visit),9m,122
8AED09318A2D73C6,Mano Le Tough,Energy Flow (DJ Koze's Miles&More Remix),12d,124
