playlist_position,apple_music_id,artist,name,key,bpm,bpm_diff,transition_score,transition_type
1,E48232C028DB3900,Joe Stawarz,Bee Bear,2,119.98084259033205,0.0,100.0,matching
2,24644980C3C12C92,Daniel Bortz,Boyz 2 Men (Original Mix),2,119.98084259033205,0.0,100.0,matching
3,CF1A1C84302A5643,"&ME, Black Coffee, Keinemusik",The Rapture Pt.III,2,119.98084259033205,0.0,100.0,matching
4,10DEEA525D379D19,Frankey & Sandrino,Acamar,2,119.98084259033205,0.0,100.0,matching
5,EDAAF4207B02893B,Isolée,Allowance,2,119.98084259033205,0.01915740966795454,99.98850555419922,matching
6,90E9296E73907B06,Keinemusik,Muyè,2,120.0,0.0,100.0,matching
7,5BAB55A461013181,Robag Wruhme,Tulpa Ovi,2,120.0,0.0,100.0,matching
8,1238FFD03190C9BD,Keinemusik feat. Nomi Ruiz,Bumper,2,120.0,0.0,100.0,matching
9,C1A551BAEB36490D,Isolee,I Like It Here Can I Stay,2,120.0,0.0,100.0,matching
10,A520C1C0F69312D5,Todd Terje,Inspector Norse,23,120.0,1.0059814453125,99.39641113281249,matching
11,FD2696CC869AC6FE,Map.Ache,Enola (Original Mix),2,121.0059814453125,0.0,100.0,matching
12,46A87418766615D8,Dominik Eulberg,Sansula (Max Cooper's Lost In Sound Mix),2,121.0059814453125,0.9857177734375,99.4085693359375,matching
13,7EAE624ED7992809,The White Lamp,It's You (Ron Basejam Remix),2,121.99169921875,0.0,100.0,matching
14,88A6CCAE26C23727,Dorisburg,Emotion,2,121.99169921875,1.00830078125,99.39501953125,matching
15,FF38B0F7244C2BDF,Gold Panda,Black Voices,2,123.0,0.0168304443359375,99.98990173339843,matching
16,5356A356573B80DF,Dominik Eulberg & Essay,Dream Machine,23,123.01683044433594,0.0,100.0,matching
17,C32DDF30DEF0C399,TSHA,Sacred,2,123.01683044433594,0.9831695556640625,99.41009826660155,matching
18,C65947DADD362158,Keinemusik feat. Nomi Ruiz,Pussy Power,2,124.0,0.00254058837890625,99.99847564697265,matching
19,D054161723F1344A,Martyn feat. Four Tet,Glassbeadgames,2,124.0025405883789,0.0394287109375,99.9763427734375,matching
20,DD4E1CBF05F9ABD7,Efdemin,There Will Be Singing (DJ Koze Remix),2,124.0419692993164,0.47315216064453125,99.71610870361329,matching
21,1E3B1EA114B67B7F,DJ Koze,Hicc Up,2,124.51512145996094,0.4731292724609375,99.71612243652343,matching
22,6EC86D0C2EC2A9B7,Steffi feat. Virginia,Yours,2,124.98825073242188,0.011749267578125,99.99295043945312,matching
23,DF59829A39B08FA2,Guti,All The Girls,2,125.0,0.0,100.0,matching
24,BF66709677E5FD10,DJ Koze,Pick Up,23,125.0,1.0,99.4,matching
25,DADAE87D89FC969B,Soulful Session & Lynn Lockamy,Hostile Takeover,2,126.0,0.013397216796875,99.99196166992186,matching
26,A7D894143F9508AB,Axel Boman,The Best Ever Made Ever,2,126.01339721679688,0.9857101440429688,99.40857391357422,matching
27,F4ED830B8CE52CEE,Bicep,Opal (Four Tet Remix),2,126.99910736083984,0.00089263916015625,99.99946441650391,matching
28,D5F816AA0CBBEDB0,Grauzone,Raum (ATA's Extended Mix),2,127.0,0.0,100.0,matching
29,8309ABE3B1F56439,Daphni,Tin,2,127.0,0.038543701171875,99.97687377929688,matching
30,ADA4F000FFE00C9B,Jamie xx,Far Nearer,2,127.03854370117188,0.9462890625,99.4322265625,matching
31,3A5EAC90BC085B11,Larry Heard & Mr. White,The Sun Can't Compare (Long Version),2,127.98483276367188,0.015167236328125,99.99089965820312,matching
32,D2CC025E20F6240D,Caribou,Can't Do Without You,2,128.0,0.024261474609375,99.98544311523438,matching
33,F9F08A5A67F3F3C1,Head High,Break Away,2,128.02426147460938,1.971405029296875,98.81715698242186,matching
34,469463D8C96BA3ED,Gorillaz feat. D.R.A.M.,Andromeda (Bonobo Remix),2,129.99566650390625,0.00433349609375,99.99739990234374,matching
