playlist_position,song_id,key,bpm,bpm_diff,transition_score,transition_type
1,Luvless - Luvmaschine Original Mix,2,111.0,3.0,98.19999999999999,matching
2,Frank & Tony feat. Gry - Bring the Sun (Vocal),2,114.0,2.0,94.8,boost
3,Morning Factory - Diane's Love,4,116.0,3.0,94.19999999999999,boost
4,Axel Boman - Purple Drank,6,119.0,1.0,91.4,boost boost
5,Daniel Bortz - Wohin Willst Du?,24,120.0,1.0,99.4,matching
6,Maceo Plex - Can't Leave You (Original Mix),24,121.0,1.0,95.4,boost
7,Dorisburg - Emotion,2,122.0,0.0,92.0,boost boost
8,Guy Gerber - What To Do (&ME Remix),20,122.0,-4.0,64.0,matching
9,Jamie XX - Sleep Sound,20,118.0,0.0,100.0,matching
10,Underworld - Born Slippy (Alma & Mater Edit),20,118.0,0.0,80.0,boost boost boost
11,DJ Koze - XTC (Original Mix),24,118.0,-2.0,76.0,matching
12,Neşe Karaböcek - Yali Yali (Todd Terje Edit),24,116.0,0.0,80.0,boost boost boost
13,Jacob Mikesh Filburt - Philipp Dolphia,14,116.0,4.0,97.6,matching
14,Todd Terje - Ragysh,14,120.0,-1.0,78.0,boost
15,Galcher Lustwerk - Parlay,16,119.0,1.0,79.4,boost boost boost
16,Leon Vynehall - Butterflies,20,120.0,4.0,97.6,matching
17,"PJ - Everything In Its Right Place (House, Extended)",20,124.0,2.0,94.8,boost
18,DJ Seinfeld - U (Original Mix),19,126.0,2.0,98.8,matching
19,Tom Bioly - Street Beat (Map.ache Remix),22,128.0,-3.0,62.0,boost boost
20,Robag Wruhme - Lampetee,16,125.0,2.0,90.8,boost boost
21,Map.ache - Thank U Again,10,127.0,1.0,91.4,boost boost
22,Soul Capsule - Lady Science (NYC Sunrise),4,128.0,-1.0,58.0,drop
23,Jamie xx - Far Nearer,2,127.0,,,
