apple_music_id,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,shaath_key,shaath_strength,braw_key,braw_strength,temperley_key,temperley_strength,noland_key,noland_strength
-9175606036320139693,Key 1d,0.9677,Key 10m,0.6807,Key 1d,0.9757,Key 1d,0.9831,Key 1d,0.992,Key 1d,0.872,Key 1d,0.8116
-9118675462301238593,Key 2d,0.8162,Key 2m,0.8467,Key 2d,0.9092,Key 2d,0.8848,Key 2d,0.8787,Key 2d,0.8607,Key 2d,0.9136
-9066100329033146223,Key 2m,0.7952,Key 2m,0.8311,Key 1m,0.8327,Key 2m,0.7917,Key 1m,0.8065,Key 2d,0.708,Key 2d,0.8699
-8995335096116301045,Key 3d,0.7332,Key 3m,0.7453,Key 3d,0.7838,Key 3d,0.8225,Key 3d,0.7665,Key 3d,0.7801,Key 3d,0.6797
-8947638436345153808,Key 4m,0.5956,Key 4m,0.5814,Key 3d,0.5707,Key 4m,0.6441,Key 4m,0.559,Key 3d,0.649,Key 3d,0.5789
-8946897961646146718,Key 4d,0.8608,Key 4m,0.7107,Key 4d,0.8796,Key 4d,0.893,Key 4d,0.8531,Key 3d,0.879,Key 3d,0.8898
-8932389081613842858,Key 7d,0.7589,Key 8m,0.7641,Key 7d,0.8555,Key 8m,0.8402,Key 7d,0.8471,Key 7d,0.8643,Key 7d,0.8739
-8798203659117990838,Key 11m,0.7585,Key 11m,0.783,Key 11d,0.8023,Key 12d,0.7752,Key 11d,0.7391,Key 11d,0.8388,Key 11d,0.9009
-8772676235962720807,Key 1m,0.8471,Key 1m,0.8597,Key 1m,0.8197,Key 1m,0.8983,Key 1m,0.7575,Key 12d,0.7874,Key 12d,0.8966
-8750403833602209037,Key 1m,0.8098,Key 1m,0.8089,Key 1m,0.7814,Key 1m,0.7777,Key 1m,0.7629,Key 1m,0.7054,Key 1m,0.6927
-8664586770562840099,Key 11m,0.7893,Key 11m,0.7816,Key 11m,0.7594,Key 11m,0.7516,Key 11m,0.7661,Key 11m,0.6356,Key 11m,0.7891
-8657101418717907301,Key 10m,0.8334,Key 10m,0.8099,Key 10m,0.8222,Key 1d,0.7317,Key 10m,0.8553,Key 10m,0.6143,Key 10m,0.8726
-8656412931983252698,Key 8m,0.8626,Key 8m,0.8759,Key 8m,0.9078,Key 8m,0.8545,Key 8m,0.8063,Key 8d,0.8569,Key 8m,0.9404
-8653438490928766201,Key 5m,0.9472,Key 5m,0.9077,Key 5m,0.9167,Key 8d,0.8316,Key 5m,0.9751,Key 5m,0.6435,Key 5m,0.8451
-8522800380129336674,Key 6m,0.83,Key 6m,0.836,Key 6m,0.8727,Key 6m,0.8594,Key 6m,0.7695,Key 6d,0.7831,Key 6m,0.8312
-8521435469734567500,Key 10m,0.4574,Key 11m,0.4475,Key 9m,0.4539,Key 11m,0.4446,Key 10m,0.4883,Key 9m,0.466,Key 9m,0.5216
-8495594148151683127,Key 7m,0.8716,Key 7m,0.8409,Key 7m,0.8871,Key 8m,0.7727,Key 7m,0.8722,Key 7d,0.6305,Key 7m,0.8986
-8485693534024804116,Key 11m,0.8498,Key 11m,0.8579,Key 11m,0.7997,Key 11m,0.8381,Key 11m,0.839,Key 11m,0.7094,Key 11m,0.637
-8436076418618788922,Key 12d,0.9172,Key 9m,0.7257,Key 12d,0.9,Key 12d,0.8854,Key 12d,0.9369,Key 12d,0.7642,Key 12d,0.7259
-8356137033194206961,Key 11m,0.9644,Key 11m,0.9615,Key 11m,0.9191,Key 11m,0.9613,Key 11m,0.9389,Key 11m,0.645,Key 11m,0.7662
-8287164466494660950,Key 11m,0.8369,Key 11m,0.8347,Key 11m,0.8697,Key 12m,0.7742,Key 11m,0.8372,Key 12m,0.7627,Key 11m,0.8834
-8177101682543646260,Key 9m,0.7159,Key 9m,0.7101,Key 9m,0.7506,Key 9m,0.7514,Key 9m,0.6485,Key 9m,0.7688,Key 9m,0.6985
-8172646936676085917,Key 10d,0.8329,Key 10m,0.7609,Key 10d,0.8908,Key 10d,0.9133,Key 10d,0.8679,Key 10d,0.9244,Key 10d,0.9
-8110752823043040817,Key 2m,0.869,Key 2m,0.8522,Key 2m,0.8001,Key 2m,0.8719,Key 2m,0.819,Key 1d,0.8294,Key 1d,0.7591
-8094045188639699378,Key 10m,0.8538,Key 10m,0.8213,Key 10m,0.9009,Key 11m,0.7631,Key 10m,0.8455,Key 11d,0.6595,Key 10m,0.8792
-8062943470044357536,Key 11m,0.9038,Key 11m,0.8846,Key 11m,0.9478,Key 11m,0.8479,Key 11m,0.8904,Key 11m,0.758,Key 11m,0.9166
-8049804077952224210,Key 3d,0.8185,Key 3m,0.5738,Key 3d,0.8472,Key 3d,0.8902,Key 3d,0.8025,Key 3d,0.9219,Key 3d,0.8105
-8025170460042274911,Key 3d,0.7519,Key 3m,0.7701,Key 3d,0.8573,Key 3d,0.8845,Key 3d,0.8052,Key 3d,0.958,Key 3d,0.9397
-8007705447946019559,Key 1m,0.9015,Key 1m,0.9081,Key 1m,0.9462,Key 1m,0.8511,Key 1m,0.8577,Key 1m,0.7252,Key 1m,0.9519
-7932190805340001703,Key 10m,0.9793,Key 10m,0.9635,Key 10m,0.9461,Key 10m,0.9009,Key 10m,0.9626,Key 10m,0.7426,Key 10m,0.8816
-7910291475826423363,Key 1m,0.8947,Key 1m,0.8966,Key 1m,0.9024,Key 1m,0.9246,Key 1m,0.8146,Key 12d,0.7717,Key 12m,0.8611
