apple_music_id,artist,name,key,bpm
E199F94246DC808F,Luvless,Luvmaschine Original Mix,16,114.08
A8349B85981555B6,Frank & Tony feat. Gry,Bring the Sun (Vocal),1,114.08
C8F38A78EF8E1ADC,Morning Factory,Diane's Love,4,116.44
3DD0D7F9D1E50678,Daniela La Luz,Did You Ever,1,119.37
B00F23DB080BF7F0,Axel Boman,Purple Drank,6,118.91
D36273B37EB783C5,Neşe Karaböcek,Yali Yali (Todd Terje Edit),24,116.01
92657C200C8EACDF,DJ Koze,XTC (Original Mix),1,118.04
BDFB1DC0652CF4C9,Daniel Bortz,Wohin Willst Du?,22,120.09
302F0B1F50D10983,Maceo Plex,Can't Leave You (Original Mix),24,120.95
08A6CCAE26C23727,Dorisburg,Emotion,2,122.17
568D70A4A1CE7A12,Jamie XX,Sleep Sound,20,118.08
596127ABBC0D0ADB,Underworld,Born Slippy (Alma & Mater Edit),19,118.04
08439A02DF1A9AFD,Leon Vynehall,Butterflies,20,120.09
1B657917DDE8715F,Guy Gerber,What To Do (&ME Remix),20,122.36
248D72C9CCB20056,DJ Seinfeld,U (Original Mix),19,126.02
7F339AAC12FC35D1,Tom Bioly,Street Beat (Map.ache Remix),22,128.0
07741A03011E1BB5,Robag Wruhme,Lampetee,4,125.16
C5F31F7C9A24426C,Map.ache,Thank U Again,12,126.91
EDD5234D8D0E6A4C,Soul Capsule,Lady Science (NYC Sunrise),4,127.89
2DA4F000FFE00C9B,Jamie xx,Far Nearer,1,127.52
F87842D38AE99551,Todd Terje,Ragysh,18,120.1
B00486A7A8036839,Jacob Mikesh Filburt,Philipp Dolphia,13,116.04
4C5AA18B64864165,Galcher Lustwerk,Parlay,16,118.9
E0496ABB8A7468B7,DJ Koze,My Grandmotha,15,118.05
1B2B22180EFAB735,Tell,I Lost 200€ In A Club,16,117.38
E534940AE7D7DECC,Jimpster,Porchlight And Rocking Chairs (KiNK Remix),21,120.1
5A9BF3C185DF24EB,DAMH,Black Night,4,119.94
F81B3909CBE1EB61,COMA,Lora (Robag's Fandara Qualv NB),7,118.46
E869256769BD027D,Panthera Krause,Heppy,14,123.03
