song_id,key,bpm
Nicolas Jaar - Can't See What Is Burning There,2,107.0
Luvless - Luvmaschine Original Mix,2,111.0
Frank & Tony feat. Gry - Bring the Sun (Vocal),2,114.0
Morning Factory - Diane's Love,4,116.0
Neşe Karaböcek - Yali Yali (Todd Terje Edit),24,116.0
Jacob Mikesh Filburt - Philipp Dolphia,14,116.0
Maribou State feat. Pedestrian - The Clown (Axel Boman Remix),2,116.0
Tell - I Lost 200€ In A Club,16,117.0
Super Flu - Jo Gurt (DJ Koze Remix),4,118.0
DJ Koze - XTC (Original Mix),24,118.0
Jamie XX - Sleep Sound,20,118.0
Underworld - Born Slippy (Alma & Mater Edit),20,118.0
DJ Koze - My Grandmotha,15,118.0
Axel Boman - Purple Drank,6,119.0
Galcher Lustwerk - Parlay,16,119.0
COMA - Lora (Robag's Fandara Qualv NB),6,119.0
Daniela La Luz - Did You Ever,4,120.0
Daniel Bortz - Wohin Willst Du?,24,120.0
Todd Terje - Ragysh,14,120.0
DAMH - Black Night,4,120.0
Maceo Plex - Can't Leave You (Original Mix),24,121.0
DJ Koze - I Want To Sleep,22,121.0
Dorisburg - Emotion,2,122.0
Maceo Plex - Your Style (Maceo Plex Re-visit),18,122.0
Guy Gerber - What To Do (&ME Remix),20,122.0
Youandewan - 1988 (Original Mix),8,123.0
The Cyclist - Pressing Matters (Robag's Pinvoldex Sull NB),24,123.0
Panthera Krause - Heppy,14,123.0
Martyn feat. Four Tet - Glassbeadgames,2,124.0
Mount Kimbie - Made To Stray (DJ Koze Remix),14,125.0
Superpitcher - Rabbits In A Hurry (Sascha Funkes JD Is The One Rabbits Remix),6,125.0
Robag Wruhme - Lampetee,16,125.0
DJ Seinfeld - U (Original Mix),19,126.0
Andre Lodemann - Where Are You Now,18,126.0
Map.ache - Thank U Again,10,127.0
Jamie xx - Far Nearer,2,127.0
Ross From Friends - Epiphany,12,127.0
Tom Bioly - Street Beat (Map.ache Remix),22,128.0
Jeigo - Pearl Leaf,20,129.0
