apple_music_id,artist,name,key,bpm
-1379143393858240004,Nicolas Jaar,Can't See What Is Burning There,2,107.0
-7606924123403588199,Joe Gray,Tozai,15,116.0
6938194054655273143,DJ Koze,My Grandmotha,15,118.0
8654573823160609633,COMA,Lora (Robag's Fandara Qualv NB),6,119.0
-9222538084225020758,Galcher Lustwerk,Put On,6,122.0
-2533419824637860593,Youandewan,1988 (Original Mix),8,123.0
4341677020220453006,Marcel Fengler,Jaz,5,126.0
-4826558637556696773,Superpitcher,Rabbits In A Hurry (Sascha Funkes JD Is The One Rabbits Remix),6,125.0
-3214720859902301807,Jeigo,Pearl Leaf,20,129.0
5829621825351458086,Agoria,Dust,20,124.0
7523585778584978045,Panthera Krause,Heppy,14,123.0
4708561236984693854,Herbert,I Hadn't Known (I Only Heard),16,123.0
700571656725439134,Ross From Friends,Epiphany,12,127.0
-3435096327133776822,Martyn feat. Four Tet,Glassbeadgames,2,124.0
1112619213811734991,TEE MANGO,Of All The Places Left To Dance (Original Mix),4,122.0
-2694291939550878485,DAMH,Black Night,4,120.0
8056581171146428634,Maribou State feat. Pedestrian,The Clown (Axel Boman Remix),2,116.0
-7265676087106291915,Tell,I Lost 200€ In A Club,16,117.0
