song_id,key,bpm
Nicolas Jaar - Can't See What Is Burning There,2,107.0
Maribou State feat. Pedestrian - The Clown (Axel Boman Remix),2,116.0
Tell - I Lost 200€ In A Club,16,117.0
DJ Koze - My Grandmotha,15,118.0
COMA - Lora (Robag's Fandara Qualv NB),6,119.0
Jimpster - Porchlight And Rocking Chairs (KiNK Remix),20,120.0
DAMH - Black Night,4,120.0
DJ Koze - I Want To Sleep,22,121.0
Lawrence - Glow,24,121.0
Youandewan - 1988 (Original Mix),8,123.0
The Cyclist - Pressing Matters (Robag's Pinvoldex Sull NB),24,123.0
Panthera Krause - Heppy,14,123.0
Martyn feat. Four Tet - Glassbeadgames,2,124.0
Andre Lodemann - Where Are You Now,18,126.0
Ross From Friends - Epiphany,12,127.0
Jeigo - Pearl Leaf,20,129.0
