apple_music_id,artist,name,key,bpm
470A1860AEAA1392,Aaron Ahrends,Little Space,24,119.35
AAE2575C020181C6,Acid Arab,Buzq Blues,17,123.0
4EAEF206AC1D3A00,Ada,Faith,8,125.15
D0E6FA29DAF01D26,Agoria,Dust,20,123.87
E785D78D410B38EC,Agoria,Solarized,24,121.96
2660F6523C5E5A2E,Akufen,Train To Barcelona,5,120.09
9BAB5CF0098CAE0E,Al Rajul Al Hadidi,Void,18,98.12
E6F780AAFA6BE763,Albion,Air (Oliver Lieb Remix) Remastered,2,137.01
AEB2CA34ACE1C8B2,Aleksandir,Yamaha,20,120.89
6C5D034AB472774F,Andre Lodemann,Where Are You Now,18,126.03
35DC97DB30C08D8A,Andy Pickford,Temple of The Wonklord,6,111.84
9E9533C576EC74EC,Aphex Twin,Windowlicker,20,122.97
15DFBBABCC01DB5B,Arutani,If It Means This Much To You,4,116.9
540F34976C192B42,Arutani & Faber,Summon Ghosts,22,114.9
5BA2330A0B253778,Ben Pearce,What I Might Do,20,122.36
4E23F5999F4ADA54,Bibio,Lovers Carvings (Catz 'n Dogz Re-edit),18,122.22
74ED830B8CE52CEE,Bicep,Opal (Four Tet Remix),1,126.87
E467A2579072D4BC,Black Loops,Sex,24,120.94
E5EC4C8DDB60F85C,Bonobo feat. O’Flynn,Otomo,4,125.94
674B680BA2554CBD,Botany,Vision of This Earth Before Our Time,24,111.08
9E52E935F81BFC5A,Burial & Four Tet,Moth (Original Mix),5,117.55
52CC025E20F6240D,Caribou,Can't Do Without You,1,128.38
C2D86B04CA43F2F0,Caribou,Julia Brightly,3,139.83
758395E81B989F13,Caribou,Sun,12,128.47
B5DDBF859B5359CB,Caserta,Ricky (Thatmanmonkz Remix),20,117.0
9C828D054A8A2DFA,Constantijn Lange,Snagsens Delight,12,93.02
0145505CEA9F61FF,The Cyclist,Pressing Matters (Robag's Pinvoldex Sull NB),23,123.02
26F2DF07E1682CD2,Daft Punk,Make Love,14,133.93
C8BE58D195D42AD0,Daniel Mehlhart,Nebelschwaden,14,125.13
0309ABE3B1F56439,Daphni,Tin,2,126.91
5DE7922B6C97D58E,Daso,T. Anders,1,128.2
9A50EE5E8F861935,DJ Boring,Winona,20,122.14
3F66709677E5FD10,DJ Koze,Pick Up,23,125.1
08BD83E96720653E,DJ Koze,Seeing Aliens,21,118.59
E0496ABB8A7468B7,DJ Koze,My Grandmotha,15,118.05
31DEE138BC3F0EAA,DJ Koze,I Want To Sleep,6,120.95
8641317169EE5DD9,DJ Koze feat. Ada,Homesick,2,96.98
08F1F5EC326591AD,DJ Koze feat. Apparat,Nices Wölkchen,15,119.38
382005B23C1D7E9F,DJ Koze feat. Eddie Fummler,Moving in a Liquid,12,118.02
4AD3E818EBB15070,DJ Linus,Are You Ready?,3,123.88
5C8D5C366A147A5F,DJ Phono,Gone,19,122.16
901AABA21FF35C60,DJ Phono,Knarhcslhük Mi Ttinhcsfua Hcon Ebah Hci,22,120.96
