apple_music_id,artist,name,key,bpm
7032926356167753871,Luvless,Luvmaschine Original Mix,2,114.0
2897111458390562230,Frank & Tony feat. Gry,Bring the Sun (Vocal),2,113.98771667480469
5256697442091277020,Morning Factory,Diane's Love,4,115.99856567382812
-4769074537417079176,Daniela La Luz,Did You Ever,4,120.0
3463026062111012848,Axel Boman,Purple Drank,6,118.99513244628906
6008492067627959237,Neşe Karaböcek,Yali Yali (Todd Terje Edit),24,115.99856567382812
1325602142421953759,DJ Koze,XTC (Original Mix),24,118.00941467285156
4466196167636350153,Daniel Bortz,Wohin Willst Du?,24,119.98084259033203
-5751365970001065597,Maceo Plex,Can't Leave You (Original Mix),24,121.0059814453125
-8599961390070745305,Dorisburg,Emotion,2,121.99169921875
-2986607125485159918,Jamie XX,Sleep Sound,20,118.2459945678711
-2782899476190393637,Underworld,Born Slippy (Alma & Mater Edit),20,118.00941467285156
-8627883123988063491,Leon Vynehall,Butterflies,20,119.98084259033203
-7249254881768738465,Guy Gerber,What To Do (&ME Remix),20,121.99169921875
-6589484468724957098,DJ Seinfeld,U (Original Mix),19,126.01339721679688
-57532306382113327,Tom Bioly,Street Beat (Map.ache Remix),22,128.1031036376953
-8686289181084869707,Robag Wruhme,Lampetee,16,124.98825073242188
5040407027980190316,Map.ache,Thank U Again,10,126.99910736083984
7914270736159500876,Soul Capsule,Lady Science (NYC Sunrise),4,127.9000015258789
-5934354521883931493,Jamie xx,Far Nearer,2,127.03854370117188
8680761758092727633,Todd Terje,Ragysh,14,119.98084259033203
3460038468363839545,Jacob Mikesh Filburt,Philipp Dolphia,14,116.07742309570312
-3721484522009247387,Galcher Lustwerk,Parlay,16,119.0
6938194054655273143,DJ Koze,My Grandmotha,15,118.0
-7265676087106291915,Tell,I Lost 200€ In A Club,16,117.2208480834961
7292616471179943628,Jimpster,Porchlight And Rocking Chairs (KiNK Remix),20,120.02027130126953
-2694291939550878485,DAMH,Black Night,4,120.02027130126953
8654573823160609633,COMA,Lora (Robag's Fandara Qualv NB),6,118.99513244628906
7523585778584978045,Panthera Krause,Heppy,14,123.01683044433594
6897972964608145464,Logic1000,Fused (DJ - Kicks),8,98.01918029785156
9204243512820979417,Tomas Barfod,Came To Party,23,104.0
8207001261702300421,Channel Tres,Sexy Black Timberlake,24,116.8659896850586
-1282176204079153830,Leon Vynehall,Time,8,120.0
7045391083672295624,Dave DK,Don't Eat The Homies,12,121.0059814453125
1579891393687663978,Dan Ghenacia & Shonky,Close To The Edge (Original Mix),14,124.0025405883789
6172998361254858416,She Knows,Thalassa (Original Mix),15,121.0
-2345412480785085071,DJ Koze feat. Arnim Teutoburg-Weiß und The Düsseldorf Düsterboys,Wie schön du bist,18,117.0237045288086
-1980965085189031680,Joe Stawarz,Bee Bear,2,119.98084259033203
-3523472404394650045,"&ME, Black Coffee, Keinemusik",The Rapture Pt.III,2,119.98084259033203
-708107242740021751,Max von Sternberg,Moving (Sofia Kourtesis Remix),4,124.0025405883789
-6065333829717269583,Sofia Kourtesis,Vajkoczy,1,124.0025405883789
-5332496413551415117,Axel Boman,Eyes Of My Mind,1,121.99169921875
-8271082008311689645,Kalyma,Tokyo,20,124.0025405883789
-7750228720761693653,Meera (NO),No Space,24,124.0025405883789
2442514258313548759,Caribou,Never Come Back,24,128.0
5085799661951493101,Gorillaz feat. D.R.A.M.,Andromeda (Bonobo Remix),2,129.99566650390625
-4629189091379715702,Raphael Schön,Energy,22,132.9528045654297
-195913331018806096,Joy Orbison,flight fm,24,139.97108459472656
-1197317593113363309,"Jamie xx, Romy & Oliver Sim",Waited All Night,4,135.98880004882812
7534205570885229910,Fred again..,Danielle (smile on my face),23,130.0
-4008632782404213503,Bicep,Glue (Original Mix),4,129.99566650390625
-1019547102197982839,Fred again..,Dermot (See Yourself In My Eyes),1,150.0
-237171320149814471,Gregor Schwellenbach feat. Christian Buck,Superpitcher’s Tomorrow,4,93.95805358886719
-1754864623550005176,Jon Hopkins,Sun Harmonics,3,118.0
6605467442959430017,Robag Wruhme,Tulpa Ovi,2,120.0
-6814952491869974541,Kiasmos,Looped,22,119.98084259033203
-6552233256589803559,Pachanga Boys,Time,22,124.0
9183944778740280657,Ross from Friends,The Daisy,12,131.96710205078125
4506892805425096343,Nils Frahm,Familiar (Original Mix),14,129.99566650390625
7877966654297912796,Behling and Simpson,Left Behind,4,113.00199890136719
8080920165767335553,Fango,Betta,22,119.98084259033203
566270618136868507,Joy Jenkins,Flowers,24,119.98084259033203
-7206073492493038242,Round,Lucky Star,22,116.98428344726562
1665329325033910003,Sofia Kourtesis,Si Te Portas Bonito,8,121.99169921875
290982955240932950,Tim Engelhardt,High Places,16,124.0025405883789
-3483249661855297183,The Cure,Alone (Four Tet Remix),22,129.0493927001953
-6540512862547509637,Jasper Tygner,Need You (Extended Edit),8,127.98483276367188
9030581548830400269,SILK,Quiver,15,131.0
-4925260774207255619,Daphni,Cloudy (Kelbin Remix),6,134.0173797607422
-9072817464159541987,DJ Heartstring,BAE,2,149.9859161376953
8036272949323207712,Barry Can't Swim,Fiorucci Made Me Hardcore,4,136.93508911132812
-1730534411063874573,not even noticed,Affected,2,135.00308227539062
-1124052115326879193,Sofia Kourtesis & Daphni,Unidos,4,133.03167724609375
-8653774145180906438,Marshall Jefferson & Noosa Heads,Mushrooms (Justin Martin Mix),10,124.98825073242188
-4669842720229565737,Sofia Kourtesis,By Your Side,18,121.99169921875
9183090035096810739,Bella Boo,True Romance (Maja Edit),18,126.01339721679688
6182834653918975223,Youandewan,Ego,24,120.0
2185065187233234010,Burial & Four Tet,Moth (Original Mix),24,117.0
2714070047318629720,Who Made Who,Keep Me In My Plane (DJ Koze's Hudson River Dub),14,116.0
-8219592575606572857,San Proper,It's Here,14,114.0
-237141481750328486,Gui Boratto,Arquipelago (Original Mix),4,124.98825073242188
7460108180331427464,Nina Simone & HONNE,My Baby Just Cares For Me (HONNE Remix),21,125.9739761352539
-3298601039717578947,Against All Logic,Such a Bad Way,17,111.0
-3488191434680391694,Keinemusik feat. Ali Love,Confusion,20,120.0
-3454426433991592812,Superpitcher,Tomorrow (Original Mix),4,94.54947662353516
9129216240965800045,Aphex Twin,Iz-Us,14,118.99513244628906
-3615786192505287698,FCL,It's You (San Soda's Panorama Bar Version),22,119.0
-8403131450288254228,Róisín Murphy,You Knew,22,120.0
-2671111550090139464,The MFA,The Difference It Makes (Superpitcher Mix),7,125.9739761352539
8529765932407209121,Westbam feat. Richard Butler,You Need the Drugs,12,127.98483276367188
1160428566810418272,DJ Phono,Knarhcslhük Mi Ttinhcsfua Hcon Ebah Hci,22,121.0
8253067437791307233,Dntel,(This Is) The Dream of Evan and Chan (Superpitcher Kompakt Remix),18,126.99910736083984
-7090173930599939052,Black Loops,Velvet,20,126.01339721679688
5662363591871302463,Sailor & I,Tough Love (Aril Brikha Remix),9,107.04830932617188
5588469510526285884,Hot Natured,Benediction,2,116.0
-6548020823681985835,Todd Terje,Inspector Norse,23,120.0
-205310927822993666,Map.Ache,Enola (Original Mix),2,121.0059814453125
-4856452891531977792,Keinemusik feat. Sofie,Discoteca Dub,8,120.0
-4154210175932817064,Keinemusik feat. Nomi Ruiz,Pussy Power,2,124.0
-3664577003099352545,Andre Bratten,Aegis,18,118.00941467285156
-4257670321550092442,Nhar,Warp 8,10,121.0059814453125
-5778522387922038192,Keinemusik,What You Expected,4,122.0
2275057317552768551,Calibre,Things like This,24,175.1999969482422
8665819989518923622,Roy Of The Ravers,Emotinium (Roy Of The Ravers Secret Mix),18,127.11739349365234
4620713295447546693,Superpitcher,Mushroom,22,125.61911010742188
3364974199186770098,Aleksandir,Yamaha,20,121.0059814453125
-5342228090296693366,Andy Pickford,Temple of The Wonklord,6,112.0
-5362884256535021166,"Fred again.., Obongjayar",adore u,1,124.0
-1379143393858240004,Nicolas Jaar,Can't See What Is Burning There,2,107.00887298583984
8056581171146428634,Maribou State feat. Pedestrian,The Clown (Axel Boman Remix),2,115.99856567382812
-5629814850373874006,DJ Koze,I Want To Sleep,22,121.0059814453125
-3435096327133776822,Martyn feat. Four Tet,Glassbeadgames,2,124.0025405883789
700571656725439134,Ross From Friends,Epiphany,12,126.99910736083984
-2533419824637860593,Youandewan,1988 (Original Mix),8,123.01683044433594
-9131804309420285441,The Cyclist,Pressing Matters (Robag's Pinvoldex Sull NB),24,123.01683044433594
3997910022123618505,Lawrence,Glow,24,121.0
-1414971088534603953,Andre Lodemann,Where Are You Now,18,126.01339721679688
-3214720859902301807,Jeigo,Pearl Leaf,20,129.08880615234375
3090128347011842502,Acid Arab,Buzq Blues,12,123.01683044433594
-3204170496736337463,Jamie xx feat. Romy,Loud Places,12,108.98030090332031
-6065868643012557817,DJ Koze,Buschtaxi (Extended Version),8,120.02027130126953
-1570609601209778740,Efdemin,Parallaxis (Traumprinz's Over 2 The End Version),4,122.97740936279297
8181148944036896651,PJ,"Everything In Its Right Place (House, Extended)",20,124.0419692993164
-3784204493239068923,Róisín Murphy,What Not To Do,21,149.0
2177397894514905008,Overmono,Good Lies,18,126.01339721679688
-5063544762289063046,Jacob Mikesh Filburt,At the Ranch (Lauer Remix),17,116.98428344726562
-436697042959207487,Head High,Break Away,2,128.02426147460938
-9222538084225020758,Galcher Lustwerk,Put On,6,121.5
9170793369899410274,Galcher Lustwerk,Outside the Club,20,124.0
8776606014353726036,Galcher Lustwerk,I Neva Seen,18,118.0
6871274019232328582,Galcher Lustwerk,Enterprise,10,123.80000305175781
-8832770608566107885,Galcher Lustwerk,In the Place,3,126.0
-6144527998135715950,Everything But The Girl,Walking Wounded,10,78.0
-9004476985519020999,Daphni,Tin,2,127.0
-2706318464344867792,Zone+,Infinite Galaxy,22,124.0025405883789
2222844408585400916,Moderat,EASY PREY,22,138.0
4317107604558278853,Fred again..,Bleu (better with time),12,122.0
-6470805764115299590,Fred again..,Delilah (pull me out of this),22,134.0
8133944568059240253,Moderat,NEON RATS,2,131.0
