playlist_position,apple_music_id,artist,name,key,bpm,bpm_diff,transition_score,transition_type
1,-1980965085189031680,Joe Stawarz,Bee Bear,2,119.98084259033205,0.0,100.0,matching
2,2622301700425329810,Daniel Bortz,Boyz 2 Men (Original Mix),2,119.98084259033205,0.0,100.0,matching
3,-3523472404394650045,"&ME, Black Coffee, Keinemusik",The Rapture Pt.III,2,119.98084259033205,0.0,100.0,matching
4,1215666588908756249,Frankey & Sandrino,Acamar,2,119.98084259033205,0.0,100.0,matching
5,-1320975120339924677,Isolée,Allowance,2,119.98084259033205,0.01915740966795454,99.98850555419922,matching
6,-8004821308312356090,Keinemusik,Muyè,2,120.0,0.0,100.0,matching
7,6605467442959430017,Robag Wruhme,Tulpa Ovi,2,120.0,0.0,100.0,matching
8,1313080561028352445,Keinemusik feat. Nomi Ruiz,Bumper,2,120.0,0.0,100.0,matching
9,-4493095189980231411,Isolee,I Like It Here Can I Stay,2,120.0,0.0,100.0,matching
10,-6548020823681985835,Todd Terje,Inspector Norse,23,120.0,1.0059814453125,99.39641113281249,matching
11,-205310927822993666,Map.Ache,Enola (Original Mix),2,121.0059814453125,0.0,100.0,matching
12,5091447027156784600,Dominik Eulberg,Sansula (Max Cooper's Lost In Sound Mix),2,121.0059814453125,0.9857177734375,99.4085693359375,matching
13,9128341585490683913,The White Lamp,It's You (Ron Basejam Remix),2,121.99169921875,0.0,100.0,matching
14,-8599961390070745305,Dorisburg,Emotion,2,121.99169921875,1.00830078125,99.39501953125,matching
15,-56100419829748769,Gold Panda,Black Voices,2,123.0,0.0168304443359375,99.98990173339843,matching
16,6005166744371167455,Dominik Eulberg & Essay,Dream Machine,23,123.01683044433594,0.0,100.0,matching
17,-4382601461369879655,TSHA,Sacred,2,123.01683044433594,0.9831695556640625,99.41009826660155,matching
18,-4154210175932817064,Keinemusik feat. Nomi Ruiz,Pussy Power,2,124.0,0.00254058837890625,99.99847564697265,matching
19,-3435096327133776822,Martyn feat. Four Tet,Glassbeadgames,2,124.0025405883789,0.0394287109375,99.9763427734375,matching
