apple_music_id,artist,name,key,bpm
6CDC4C63EAC0C1FC,Nicolas Jaar,Can't See What Is Burning There,2,107.0
B1BB63F715E1025E,Dorothy's Ghost,Never Said Goodbye (Lee Waxman's Long Hot Disco Mix),24,115.0
F81B3909CBE1EB61,COMA,Lora (Robag's Fandara Qualv NB),6,119.0
0002F679BA418CAA,Galcher Lustwerk,Put On,6,122.0
5CD77C179587250F,Youandewan,1988 (Original Mix),8,123.0
BC40BC3F27B7708E,Marcel Fengler,Jaz,5,126.0
3D049E7DC8D6F93B,Superpitcher,Rabbits In A Hurry (Sascha Funkes JD Is The One Rabbits Remix),6,125.0
53630469057C2991,Jeigo,Pearl Leaf,20,129.0
D0E6FA29DAF01D26,Agoria,Dust,20,124.0
E869256769BD027D,Panthera Krause,Heppy,14,123.0
C1582B7F7DA5845E,Herbert,I Hadn't Known (I Only Heard),16,123.0
89B8EE35C2D3A29E,Ross From Friends,Epiphany,12,127.0
5054161723F1344A,Martyn feat. Four Tet,Glassbeadgames,2,124.0
8F70D147B185D9CF,TEE MANGO,Of All The Places Left To Dance (Original Mix),4,122.0
5A9BF3C185DF24EB,DAMH,Black Night,4,120.0
EFCEB9E3BA4890DA,Maribou State feat. Pedestrian,The Clown (Axel Boman Remix),2,116.0
1B2B22180EFAB735,Tell,I Lost 200€ In A Club,16,117.0
166EC6D01F2DED99,Joe Gray,Tozai,15,116.0
E0496ABB8A7468B7,DJ Koze,My Grandmotha,15,118.0
