song_id,key,bpm
Luvless - Luvmaschine Original Mix,2,111.0
Frank & Tony feat. Gry - Bring the Sun (Vocal),2,114.0
Neşe Karaböcek - Yali Yali (Todd Terje Edit),24,116.0
Jacob Mikesh Filburt - Philipp Dolphia,14,116.0
Morning Factory - Diane's Love,4,116.0
DJ Koze - XTC (Original Mix),24,118.0
Jamie XX - Sleep Sound,20,118.0
Underworld - Born Slippy (Alma & Mater Edit),20,118.0
Galcher Lustwerk - Parlay,16,119.0
Axel Boman - Purple Drank,6,119.0
Daniel Bortz - Wohin Willst Du?,24,120.0
Leon Vynehall - Butterflies,20,120.0
Todd Terje - Ragysh,14,120.0
Maceo Plex - Can't Leave You (Original Mix),24,121.0
Guy Gerber - What To Do (&ME Remix),20,122.0
"PJ - Everything In Its Right Place (House, Extended)",20,124.0
DJ Seinfeld - U (Original Mix),19,126.0
Jamie xx - Far Nearer,2,127.0
Map.ache - Thank U Again,10,127.0
Tom Bioly - Street Beat (Map.ache Remix),22,128.0
Soul Capsule - Lady Science (NYC Sunrise),4,128.0
Dorisburg - Emotion,2,122.0
Robag Wruhme - Lampetee,16,125.0
Nicolas Jaar - Can't See What Is Burning There,5,107.004
"Maribou State, Pedestrian, Axel Boman - The Clown - Axel Boman Remix",1,115.998
DJ Koze - My Grandmotha,15,118
Tell - I Lost 200€ in a Club,13,117.325
Jimpster - Porchlight and Rocking Chairs - Kink Remix,3,120.014
"COMA, Robag Wruhme - Lora - Robag's Fandara Qualv NB",5,119.008
DJ Koze - I Want To Sleep,3,121.001
DAMH - Black Night,4,120.016
"Martyn, Four Tet - Glassbeadgames - 8 Hours at Fabric Dub",2,123.979
Ross from Friends - Epiphany,6,127.011
Youandewan - 1988 - Original Mix,8,123.007
"The Cyclist, Robag Wruhme - Pressing Matters - Robag's Pinvoldex Sull Nb",22,123.018
Lawrence - Glow,22,120.996
Panthera Krause - Heppy,16,122.998
Andre Lodemann - Where Are You Now?,15,125.998
Jeigo - Pearl Leaf,21,128.979
