playlist_position,song_id,key,bpm,bpm_diff,transition_score,transition_type
1,DJ Koze - XTC (Original Mix),24,118.0,2.0,98.8,matching
2,Daniel Bortz - Wohin Willst Du?,24,120.0,1.0,99.4,matching
3,Maceo Plex - Can't Leave You (Original Mix),24,121.0,1.0,95.4,boost
4,Dorisburg - Emotion,2,122.0,-4.0,89.6,boost boost
5,Jamie XX - Sleep Sound,20,118.0,0.0,100.0,matching
6,Underworld - Born Slippy (Alma & Mater Edit),20,118.0,4.0,97.6,matching
7,Guy Gerber - What To Do (&ME Remix),20,122.0,4.0,93.6,boost
8,DJ Seinfeld - U (Original Mix),19,126.0,2.0,98.8,matching
9,Tom Bioly - Street Beat (Map.ache Remix),22,128.0,-3.0,90.19999999999999,boost boost
10,Robag Wruhme - Lampetee,16,125.0,2.0,90.8,boost boost
11,Map.ache - Thank U Again,10,127.0,1.0,91.4,boost boost
12,Soul Capsule - Lady Science (NYC Sunrise),4,128.0,-1.0,85.0,drop
13,Jamie xx - Far Nearer,2,127.0,-3.0,90.19999999999999,boost boost
14,"PJ - Everything In Its Right Place (House, Extended)",20,124.0,-4.0,97.6,matching
15,Leon Vynehall - Butterflies,20,120.0,0.0,92.0,boost boost
16,Todd Terje - Ragysh,14,120.0,-4.0,97.6,matching
17,Jacob Mikesh Filburt - Philipp Dolphia,14,116.0,3.0,94.19999999999999,boost
18,Galcher Lustwerk - Parlay,16,119.0,0.0,80.0,boost boost boost
19,Axel Boman - Purple Drank,6,119.0,-3.0,90.19999999999999,boost boost
20,Neşe Karaböcek - Yali Yali (Todd Terje Edit),24,116.0,-2.0,90.0,boost
21,Frank & Tony feat. Gry - Bring the Sun (Vocal),2,114.0,-3.0,98.19999999999999,matching
22,Luvless - Luvmaschine Original Mix,2,111.0,5.0,93.0,boost
23,Morning Factory - Diane's Love,4,116.0,,,
